sim month Balance SchedPrincipal UnschedPrincipal Liquidated
2 85 16787246374.35 42404690.65 82803271.49 1168684.20
2 86 16664419386.45 42324319.99 80502667.91 1131511.52
2 87 16535882886.24 42248428.51 86288071.71 1075555.70
2 88 16392763354.27 42156417.19 100963114.78 1021618.23
2 89 16257238094.94 42025268.36 93499990.97 971019.78
2 90 16120933418.25 41911431.06 94393245.63 953459.62
2 91 16003217815.92 41793576.68 75922025.65 937749.37
2 92 15892623318.66 41722145.34 68872351.91 923361.65
2 93 15786250179.18 41667924.17 64705215.31 886958.18
2 94 15683782576.49 41623501.15 60844101.53 852826.35
2 95 15602110686.25 41588209.37 40083680.87 821442.52
2 96 15506026542.57 41607180.06 54476963.62 820428.22
2 97 15386574907.69 41586998.34 77864636.55 818380.48
2 98 15272804451.24 41502832.03 72267624.41 816937.54
2 99 15146421144.20 41432372.42 84950934.62 822815.58
2 100 15010300820.46 41325968.24 94794355.50 827854.75
2 101 14885402384.39 41190892.50 83707543.57 833054.26
2 102 14752086440.12 41084547.56 92231396.71 823405.03
2 103 14640173733.67 40952875.14 70959831.31 814859.02
2 104 14535026771.11 40878713.28 64268249.29 806886.20
2 105 14433874410.43 40821932.88 60330427.80 811243.44
2 106 14338936146.49 40775052.17 54163211.76 815274.57
2 107 14258983670.05 40744554.85 39207921.59 820002.16
2 108 14167029830.18 40755859.55 51197980.32 807402.77
2 109 14052423292.06 40732066.94 73874471.18 793967.77
2 110 13945602649.70 40641743.27 66178899.09 781437.84
2 111 13817599060.70 40572263.18 87431325.82 771351.44
2 112 13680339412.44 40439227.89 96820420.38 760948.61
2 113 13552010120.03 40276617.52 88052674.89 751380.59
2 114 13413488342.19 40137802.48 98383975.35 733966.58
2 115 13298608307.10 39966213.94 74913821.16 718150.76
2 116 13180364502.67 39862697.79 78381106.64 702329.76
2 117 13067794447.69 39747045.41 72823009.57 690355.64
2 118 0.00 39646474.31 13028147973.38 678952.44
3 0 29040913330.15 0.00 0.00 0.00
3 1 28872982258.95 47655167.23 120275903.98 369246.90
3 2 28693470078.47 47600831.34 131911349.14 384066.98
3 3 28496368761.16 47526116.27 149575201.04 409411.37
3 4 28287821309.36 47420756.33 161126695.47 436515.75
3 5 28074550844.76 47294595.55 165975869.04 465597.41
3 6 27871791103.41 47158631.50 155601109.85 502015.14
3 7 27684391097.32 47038450.99 140361555.10 541090.26
3 8 27493361628.30 46942512.72 144086956.30 579749.29
3 9 27320145561.55 46838814.76 126377251.99 618699.67
3 10 27122485918.07 46763962.07 150895681.41 655391.92
3 11 26951306782.37 46645688.24 124533447.46 693952.75
3 12 26757050561.97 46571344.60 147684875.79 753732.11
3 13 26531897491.56 46455547.11 178697523.30 819623.38
3 14 26302739160.59 46284064.49 182874266.48 892723.80
3 15 26038754292.85 46103371.52 217881496.23 899812.55
3 16 25708529866.85 45858947.97 284365478.02 905471.34
3 17 25386739695.30 45494292.50 276295879.05 911937.56
3 18 25119754798.50 45140455.14 221844441.66 927261.94
3 19 24906716544.51 44880472.68 168157781.31 945552.66
3 20 24713683975.26 44714193.00 148318376.25 958146.04
3 21 24543275766.53 44581711.71 125826497.02 989937.92
3 22 24375891396.35 44488322.98 122896047.20 1014577.66
3 23 24238043416.92 44398886.13 93449093.31 1039794.57
3 24 24048546125.45 44362078.29 145135213.18 1018345.42
3 25 23765851518.21 44229271.46 238465335.78 994443.42
3 26 23490520348.45 43922269.43 231408900.33 972382.91
3 27 23177018489.45 43625177.39 269876681.61 1014555.79
3 28 22805929748.06 43253294.75 327835446.64 1057248.48
3 29 22438341898.28 42769122.09 324818727.69 1101295.82
3 30 21988159518.90 42286314.91 407896064.47 1060995.20
3 31 21487638564.92 41641697.81 458879256.17 1021808.73
3 32 20812815518.99 40894299.36 633928746.56 980761.05
3 33 20093000835.79 39805417.86 680009265.34 997180.16
3 34 19275969761.60 38618672.37 778412401.83 1017421.29
3 35 18108899016.48 37231799.55 1129838945.57 1031658.28
3 36 16876732288.37 35151098.95 1197015629.16 1036161.67
3 37 15755983463.55 32922134.31 1087826690.51 1047678.46
3 38 15033630292.24 30888790.90 691464380.41 1098747.81
3 39 14504511928.55 29619637.82 499498725.87 1147585.44
3 40 14012113669.55 28719978.48 463678280.53 1191463.63
3 41 13540945074.29 27883976.73 443284618.53 1211694.44
3 42 13081873200.50 27081639.23 431990234.57 1214049.13
3 43 12685248193.27 26295113.96 370329893.27 1218632.82
3 44 12266117445.95 25626414.71 393504332.61 1220096.28
3 45 11863853547.73 24904801.50 377359096.73 1248295.39
3 46 11528499844.43 24209900.53 311143802.77 1281547.91
3 47 11261381840.87 23644796.07 243473207.49 1323126.56
3 48 11064111895.02 23214295.75 174055650.11 1343157.04
3 49 10885685480.62 22923783.69 155502630.70 1361884.73
3 50 10724124524.64 22669196.64 138891759.35 1379117.79
3 51 10557941813.29 22446988.14 143735723.21 1381282.63
3 52 10416304941.52 22212427.17 119424444.60 1382649.63
3 53 10287225983.65 22027018.10 107051939.77 1385353.29
3 54 10133859577.60 21866018.96 131500387.09 1402993.22
3 55 9962780089.12 21651135.21 149428353.28 1412431.62
3 56 9732515023.96 21395689.26 208869375.89 1400111.63
3 57 9499579273.49 21009574.94 211926175.54 1341729.87
3 58 9220127352.05 20613343.73 258838577.71 1271624.04
3 59 8891119788.59 20111183.46 308896380.00 1200778.07
3 60 8595140518.27 19494727.28 276484543.04 1158045.25
3 61 8339472253.49 18944294.40 236723970.38 1123998.92
3 62 8094692086.01 18477098.85 226303068.62 1095016.81
3 63 7809119462.43 18028974.06 267543649.51 1055019.34
3 64 7543408100.05 17484492.67 248226869.72 1015046.68
3 65 7289047909.41 16978686.32 237381504.32 976170.25
3 66 7087805659.70 16492915.31 184749334.40 948054.96
3 67 6928912465.91 16122554.02 142770639.77 925452.50
3 68 6734762900.36 15844861.53 178304704.01 897448.61
3 69 6524774291.01 15482895.06 194505714.30 867302.57
3 70 6307333299.40 15080202.38 202360789.23 835306.57
3 71 6096245775.55 14655624.47 196431899.38 807222.62
3 72 5888645398.44 14241096.71 193359280.40 777941.51
3 73 5685561569.40 13830066.93 189253762.11 748689.73
3 74 5508115318.88 13425036.28 164021214.24 722540.03
3 75 5332695831.98 13076268.62 162343218.28 700255.92
3 76 5149425016.96 12728347.72 170542467.29 676672.10
3 77 4995306102.95 12357587.98 141761326.03 655416.86
3 78 4857295284.78 12052918.25 125957899.92 641011.71
3 79 4705112742.51 11783810.91 140398731.36 624844.05
3 80 4537830756.91 11477000.33 155804985.28 604649.96
3 81 4378504111.14 11129603.50 148197042.27 581087.04
3 82 4210901628.50 10797821.33 156804661.30 557727.68
3 83 4074383159.61 10441665.63 126076803.26 538923.80
3 84 3942107344.81 10158846.57 122116968.23 546423.14
3 85 3786865983.33 9883373.51 145357987.97 549228.56
3 86 3661357234.35 9546764.95 115961984.03 553692.17
3 87 3564705825.43 9281657.62 87369751.30 547642.65
3 88 3481851667.77 9087000.02 73767157.64 544194.85
3 89 3412921005.92 8925381.52 60005280.33 541349.87
3 90 3347739102.27 8797729.93 56384173.73 524955.32
3 91 3292709687.60 8678209.42 46351205.26 509470.90
3 92 3244107971.81 8583660.54 40018055.24 494908.60
3 93 3198812478.21 8504732.09 36790761.51 486819.82
3 94 3156694022.42 8433479.21 33684976.58 479404.49
3 95 3123278797.14 8369692.96 25045532.31 473270.94
3 96 3087984019.70 8328232.91 26966544.54 472137.96
3 97 3047729742.12 8281117.65 31973159.93 469697.05
3 98 3011152598.95 8219940.67 28357202.49 467386.00
3 99 2971082314.57 8167898.17 31902386.21 463528.08
3 100 0.00 8105584.00 2962976729.80 459146.44
4 0 29040913330.15 0.00 0.00 0.00
4 1 28872982258.95 47655167.23 120275903.98 369246.90
4 2 28693315096.82 47600831.35 132066330.78 384063.45
4 3 28495881284.57 47525859.58 149907952.67 409398.97
4 4 28286627764.88 47419945.16 161833574.53 436483.54
4 5 28071856648.12 47292600.14 167478516.62 465528.58
4 6 27864829669.56 47154116.06 159872862.50 495911.24
4 7 27677430991.27 47026724.27 140371954.02 527982.06
4 8 27491999127.97 46930746.39 138501116.91 558698.99
4 9 27333590562.33 46836534.69 111572030.95 594517.75
4 10 27173032067.95 46787022.20 113771472.18 628670.97
4 11 27045992604.05 46732670.29 80306793.61 665027.89
4 12 26901720619.09 46735048.00 97536936.96 705395.13
4 13 26719822631.71 46706854.27 135191133.11 748468.33
4 14 26528078975.51 46612074.82 145131581.38 795405.35
4 15 26321386011.89 46498522.41 160194441.21 807193.52
4 16 26086073584.06 46356882.15 188955545.69 819522.09
4 17 25829173864.70 46162565.19 210737154.18 832486.90
4 18 25512056246.16 45927355.89 271190262.65 829012.83
4 19 25072973846.76 45581628.69 393500770.70 822344.35
4 20 24594775661.57 45012946.46 433185238.73 810087.58
4 21 24138729346.18 44367499.15 411678816.24 824700.17
4 22 23609158467.59 43755318.23 485815560.35 834801.11
4 23 23200123254.22 43002625.73 366032587.64 849519.20
4 24 22878825549.48 42462619.93 278835084.82 858848.21
4 25 22592288144.32 42078096.72 244459308.43 872280.48
4 26 22351483495.04 41753449.68 199051199.60 885242.36
