sim month CECoverage CEPremium
316 45 0.00 2352868.84
316 46 0.00 2066289.08
316 47 0.00 2160295.27
316 48 8875093.18 2347295.41
316 49 9801926.33 2043387.76
316 50 8983554.70 2126309.28
316 51 7844902.41 2103461.64
316 52 7085412.36 2133402.33
316 53 6396693.30 2055154.14
316 54 5903281.92 2193906.22
316 55 5486767.01 1957940.28
316 56 5138526.26 1969478.40
316 57 4911939.01 2076046.30
316 58 4625367.47 1922153.20
316 59 4324815.71 1924957.17
316 60 4449332.17 2001927.61
316 61 4482360.62 1815198.25
316 62 4527753.60 1967676.79
316 63 4565836.14 2114043.84
316 64 4637109.02 1822645.29
316 65 4711585.16 1928240.46
316 66 4744879.12 2006422.21
316 67 4843102.91 1842089.65
316 68 4955353.81 1845767.00
316 69 4963135.17 1856210.59
316 70 4790025.14 1873767.27
316 71 4629568.63 1947716.73
316 72 4384021.98 1737854.62
316 73 4054264.88 1717899.65
316 74 3751584.00 1942754.27
316 75 3537244.35 1706751.98
316 76 3347801.22 1824879.07
316 77 3159281.01 1907606.02
316 78 2713695.78 1721808.91
316 79 2306457.03 1888326.08
316 80 1965918.52 1865905.38
316 81 1658273.29 1803366.37
316 82 1432406.49 1995068.09
316 83 1256324.84 1692929.85
316 84 1110995.70 1849467.75
316 85 1091004.92 1657412.13
316 86 1084902.02 1844866.35
316 87 1080202.25 1653120.66
316 88 1077368.67 1807292.85
316 89 1085369.12 1765809.44
316 90 1087104.06 1735861.36
316 91 1080782.79 1926267.94
316 92 1076552.23 1634603.89
316 93 1072661.89 1890973.31
316 94 1064962.10 1815860.42
316 95 1073079.31 1685074.92
316 96 1069893.94 1801650.20
316 97 1062666.37 1603521.40
316 98 1055715.60 1774332.31
316 99 1029984.54 1702594.05
316 100 1008152.65 1889049.70
316 101 992595.97 1625337.30
316 102 981708.61 1787869.00
316 103 969313.16 1844096.20
316 104 958987.04 1703948.69
316 105 946938.14 1833079.32
316 106 930953.51 1881479.48
316 107 915611.43 1754544.99
316 108 900865.91 2006557.26
316 109 889514.95 1722395.87
316 110 876718.50 1780561.29
316 111 865304.83 1879683.29
316 112 857144.84 2002103.24
316 113 848821.96 1826806.33
316 114 841246.25 2013141.57
316 115 831912.86 2017995.12
316 116 824287.13 2001022.56
316 117 816683.94 2236515.93
316 118 805498.14 1976849.54
316 119 795050.29 2039771.68
317 0 0.00 0.00
317 1 0.00 1808920.85
317 2 0.00 1996736.06
317 3 0.00 2108534.28
317 4 0.00 1936069.09
317 5 0.00 1997144.96
317 6 0.00 2021380.86
317 7 0.00 1990291.10
317 8 0.00 2069282.91
317 9 0.00 1809927.78
317 10 0.00 2009745.77
317 11 0.00 2058111.65
317 12 0.00 1968163.51
317 13 0.00 1842695.07
317 14 0.00 2265453.61
317 15 0.00 2016533.27
317 16 0.00 2220204.50
317 17 0.00 2409940.47
317 18 0.00 2315500.51
317 19 0.00 2546180.28
317 20 0.00 2608459.47
317 21 0.00 2559174.05
317 22 0.00 2811012.81
317 23 0.00 2442000.45
317 24 0.00 2616436.40
317 25 0.00 2509677.24
317 26 0.00 2682691.52
317 27 0.00 2625853.55
317 28 0.00 2965198.39
317 29 0.00 2514984.64
317 30 0.00 2757552.45
317 31 0.00 2813496.09
317 32 0.00 2542818.21
317 33 0.00 2666361.55
317 34 0.00 2689492.25
317 35 0.00 2335283.68
317 36 0.00 2615761.74
317 37 0.00 2219592.75
317 38 0.00 2257939.46
317 39 0.00 2241451.14
317 40 0.00 2395745.40
317 41 0.00 2136536.10
317 42 0.00 2284697.80
317 43 0.00 2280448.53
317 44 0.00 2191537.72
317 45 0.00 2352868.84
317 46 0.00 2066289.08
317 47 0.00 2160295.27
317 48 8875093.18 2347295.41
317 49 9801926.33 2043387.76
317 50 8983554.70 2126309.28
317 51 7844902.41 2103461.64
317 52 7085412.36 2133402.33
317 53 6396693.30 2055154.14
317 54 5903281.92 2193906.22
317 55 5486767.01 1957940.28
317 56 5138526.26 1969478.40
317 57 4911939.01 2076046.30
317 58 4625367.47 1922153.20
317 59 4324815.71 1924957.17
317 60 4449332.17 2001927.61
317 61 4482360.62 1815198.25
317 62 4527753.60 1967676.79
317 63 4565836.14 2114043.84
317 64 4637109.02 1822645.29
317 65 4711585.16 1928240.46
317 66 4744879.12 2006422.21
317 67 4843102.91 1842089.65
317 68 4955353.81 1845767.00
317 69 4963135.17 1856210.59
317 70 4790025.14 1873767.27
317 71 4629568.63 1947716.73
317 72 4384021.98 1737854.62
317 73 4054264.88 1717899.65
317 74 3751584.00 1942754.27
317 75 3537244.35 1706751.98
317 76 3347801.22 1824879.07
317 77 3159281.01 1907606.02
317 78 2713695.78 1721808.91
317 79 2306457.03 1888326.08
317 80 1965918.52 1865905.38
317 81 1658273.29 1803366.37
317 82 1432406.49 1995068.09
317 83 1256324.84 1692929.85
317 84 1110995.70 1849467.75
317 85 1091004.92 1657412.13
317 86 1084902.02 1844866.35
317 87 1080202.25 1653120.66
317 88 1077368.67 1807292.85
317 89 1085369.12 1765809.44
317 90 1087104.06 1735861.36
317 91 1080782.79 1926267.94
317 92 1076552.23 1634603.89
317 93 1072661.89 1890973.31
317 94 1064962.10 1815860.42
317 95 1073079.31 1685074.92
317 96 1069893.94 1801650.20
317 97 1062666.37 1603521.40
317 98 1055715.60 1774332.31
317 99 1029984.54 1702594.05
317 100 1008152.65 1889049.70
317 101 992595.97 1625337.30
317 102 981708.61 1787869.00
317 103 969313.16 1844096.20
317 104 958987.04 1703948.69
317 105 946938.14 1833079.32
317 106 930953.51 1881479.48
317 107 915611.43 1754544.99
317 108 900865.91 2006557.26
317 109 889514.95 1722395.87
317 110 876718.50 1780561.29
317 111 865304.83 1879683.29
317 112 857144.84 2002103.24
317 113 848821.96 1826806.33
317 114 841246.25 2013141.57
317 115 831912.86 2017995.12
317 116 824287.13 2001022.56
317 117 816683.94 2236515.93
317 118 805498.14 1976849.54
317 119 795050.29 2039771.68
318 0 0.00 0.00
318 1 0.00 1808920.85
318 2 0.00 1996736.06
318 3 0.00 2108534.28
318 4 0.00 1936069.09
318 5 0.00 1997144.96
318 6 0.00 2021380.86
318 7 0.00 1990291.10
318 8 0.00 2069282.91
318 9 0.00 1809927.78
318 10 0.00 2009745.77
318 11 0.00 2058111.65
318 12 0.00 1968163.51
318 13 0.00 1842695.07
318 14 0.00 2265453.61
318 15 0.00 2016533.27
318 16 0.00 2220204.50
318 17 0.00 2409940.47
318 18 0.00 2315500.51
318 19 0.00 2546180.28
318 20 0.00 2608459.47
318 21 0.00 2559174.05
318 22 0.00 2811012.81
318 23 0.00 2442000.45
318 24 0.00 2616436.40
318 25 0.00 2509677.24
318 26 0.00 2682691.52
318 27 0.00 2625853.55
318 28 0.00 2965198.39
318 29 0.00 2514984.64
318 30 0.00 2757552.45
318 31 0.00 2813496.09
318 32 0.00 2542818.21
318 33 0.00 2666361.55
318 34 0.00 2689492.25
318 35 0.00 2335283.68
318 36 0.00 2615761.74
318 37 0.00 2219592.75
318 38 0.00 2257939.46
318 39 0.00 2241451.14
318 40 0.00 2395745.40
318 41 0.00 2136536.10
318 42 0.00 2284697.80
318 43 0.00 2280448.53
318 44 0.00 2191537.72
318 45 0.00 2352868.84
318 46 0.00 2066289.08
318 47 0.00 2160295.27
318 48 8875093.18 2347295.41
318 49 9801926.33 2043387.76
318 50 8983554.70 2126309.28
318 51 7844902.41 2103461.64
318 52 7085412.36 2133402.33
318 53 6396693.30 2055154.14
318 54 5903281.92 2193906.22
318 55 5486767.01 1957940.28
318 56 5138526.26 1969478.40
318 57 4911939.01 2076046.30
318 58 4625367.47 1922153.20
318 59 4324815.71 1924957.17
318 60 4449332.17 2001927.61
318 61 4482360.62 1815198.25
318 62 4527753.60 1967676.79
318 63 4565836.14 2114043.84
318 64 4637109.02 1822645.29
318 65 4711585.16 1928240.46
318 66 4744879.12 2006422.21
318 67 4843102.91 1842089.65
318 68 4955353.81 1845767.00
318 69 4963135.17 1856210.59
318 70 4790025.14 1873767.27
318 71 4629568.63 1947716.73
318 72 4384021.98 1737854.62
318 73 4054264.88 1717899.65
318 74 3751584.00 1942754.27
318 75 3537244.35 1706751.98
318 76 3347801.22 1824879.07
318 77 3159281.01 1907606.02
318 78 2713695.78 1721808.91
318 79 2306457.03 1888326.08
318 80 1965918.52 1865905.38
318 81 1658273.29 1803366.37
318 82 1432406.49 1995068.09
318 83 1256324.84 1692929.85
318 84 1110995.70 1849467.75
318 85 1091004.92 1657412.13
318 86 1084902.02 1844866.35
318 87 1080202.25 1653120.66
318 88 1077368.67 1807292.85
318 89 1085369.12 1765809.44
318 90 1087104.06 1735861.36
318 91 1080782.79 1926267.94
318 92 1076552.23 1634603.89
318 93 1072661.89 1890973.31
318 94 1064962.10 1815860.42
318 95 1073079.31 1685074.92
318 96 1069893.94 1801650.20
318 97 1062666.37 1603521.40
318 98 1055715.60 1774332.31
318 99 1029984.54 1702594.05
318 100 1008152.65 1889049.70
318 101 992595.97 1625337.30
318 102 981708.61 1787869.00
318 103 969313.16 1844096.20
318 104 958987.04 1703948.69
318 105 946938.14 1833079.32
318 106 930953.51 1881479.48
318 107 915611.43 1754544.99
318 108 900865.91 2006557.26
318 109 889514.95 1722395.87
318 110 876718.50 1780561.29
318 111 865304.83 1879683.29
318 112 857144.84 2002103.24
318 113 848821.96 1826806.33
318 114 841246.25 2013141.57
318 115 831912.86 2017995.12
318 116 824287.13 2001022.56
318 117 816683.94 2236515.93
318 118 805498.14 1976849.54
318 119 795050.29 2039771.68
319 0 0.00 0.00
319 1 0.00 1808920.85
319 2 0.00 1996736.06
319 3 0.00 2108534.28
319 4 0.00 1936069.09
319 5 0.00 1997144.96
319 6 0.00 2021380.86
319 7 0.00 1990291.10
319 8 0.00 2069282.91
319 9 0.00 1809927.78
319 10 0.00 2009745.77
319 11 0.00 2058111.65
319 12 0.00 1968163.51
319 13 0.00 1842695.07
319 14 0.00 2265453.61
