sim TrancheName FaceAmount($) Yield(%) WAL(%) DiscMarginBeq(%)
57 M1 375000000.00 2.40274 1.89638 1.61282
57 M2 375000000.00 5.56396 3.28329 4.46439
57 M1H 20667705.00 -0.00000 1.89638 -0.79960
57 M2H 20667705.00 -0.00000 3.28329 -1.13201
57 BH 87926156.00 -1.17601 4.53902 -2.39160
58 M1 375000000.00 2.83995 3.64226 1.61773
58 M2 375000000.00 6.39522 9.69431 4.48594
58 M1H 20667705.00 -0.00000 3.64226 -1.25056
58 M2H 20667705.00 0.00000 9.69431 -2.09553
58 BH 87926156.00 -1.26391 9.31954 -3.40562
59 M1 375000000.00 2.78942 3.39052 1.61710
59 M2 375000000.00 6.38379 9.61795 4.48561
59 M1H 20667705.00 -0.00000 3.39052 -1.19766
59 M2H 20667705.00 0.00000 9.61795 -2.08166
59 BH 87926156.00 -1.47851 9.25576 -3.62021
60 M1 375000000.00 2.81854 3.63195 1.61742
60 M2 375000000.00 6.33946 9.32530 4.48433
60 M1H 20667705.00 -0.00000 3.63195 -1.22668
60 M2H 20667705.00 0.00000 9.32530 -2.02783
60 BH 87926156.00 -2.73739 8.81348 -4.87903
61 M1 375000000.00 2.70725 3.05768 1.61608
61 M2 375000000.00 6.26066 8.73372 4.48213
61 M1H 20667705.00 -0.00000 3.05768 -1.10938
61 M2H 20667705.00 0.00000 8.73372 -1.93571
61 BH 87926156.00 -1.63120 9.17011 -3.77289
62 M1 375000000.00 2.85312 3.72322 1.61789
62 M2 375000000.00 6.39953 9.72108 4.48607
62 M1H 20667705.00 -0.00000 3.72322 -1.26446
62 M2H 20667705.00 0.00000 9.72108 -2.10085
62 BH 87926156.00 -1.64195 9.19756 -3.78365
63 M1 375000000.00 2.68258 2.97325 1.61580
63 M2 375000000.00 5.79051 5.89905 4.46948
63 M1H 20667705.00 -0.00000 2.97325 -1.08345
63 M2H 20667705.00 0.00000 5.89905 -1.37039
63 BH 87926156.00 -0.93629 7.90215 -2.68736
64 M1 375000000.00 2.79881 3.41541 1.61722
64 M2 375000000.00 6.38550 9.62843 4.48566
64 M1H 20667705.00 -0.00000 3.41541 -1.20747
64 M2H 20667705.00 0.00000 9.62843 -2.08377
64 BH 87926156.00 -1.98763 9.06372 -4.12931
65 M1 375000000.00 2.45470 2.01643 1.61339
65 M2 375000000.00 6.19970 8.04278 4.48052
65 M1H 20667705.00 -0.00000 2.01643 -0.85299
65 M2H 20667705.00 0.00000 8.04278 -1.87032
65 BH 87926156.00 -2.12872 8.93075 -4.27039
66 M1 375000000.00 2.83804 3.63132 1.61771
66 M2 375000000.00 6.39709 9.70629 4.48599
66 M1H 20667705.00 -0.00000 3.63132 -1.24884
66 M2H 20667705.00 0.00000 9.70629 -2.09782
66 BH 87926156.00 -1.66625 9.14041 -3.80794
67 M1 375000000.00 2.75961 3.33138 1.61669
67 M2 375000000.00 6.29723 9.02297 4.48314
67 M1H 20667705.00 -0.00000 3.33138 -1.16429
67 M2H 20667705.00 0.00000 9.02297 -1.97769
67 BH 87926156.00 -1.69333 9.25196 -3.83502
68 M1 375000000.00 2.59912 2.44687 1.61495
68 M2 375000000.00 6.29896 8.92726 4.48324
68 M1H 20667705.00 -0.00000 2.44687 -0.99962
68 M2H 20667705.00 0.00000 8.92726 -1.98378
68 BH 87926156.00 -1.88163 9.08528 -4.02331
69 M1 375000000.00 2.80870 3.53953 1.61731
69 M2 375000000.00 6.38244 9.60981 4.48557
69 M1H 20667705.00 -0.00000 3.53953 -1.21654
69 M2H 20667705.00 0.00000 9.60981 -2.07998
69 BH 87926156.00 -1.68093 9.22545 -3.82262
70 M1 375000000.00 2.84325 3.67592 1.61777
70 M2 375000000.00 6.39696 9.70432 4.48599
70 M1H 20667705.00 -0.00000 3.67592 -1.25395
70 M2H 20667705.00 0.00000 9.70432 -2.09770
70 BH 87926156.00 -1.52087 9.23607 -3.66256
71 M1 375000000.00 2.80627 3.48203 1.61730
71 M2 375000000.00 6.38748 9.64016 4.48572
71 M1H 20667705.00 -0.00000 3.48203 -1.21507
71 M2H 20667705.00 0.00000 9.64016 -2.08622
71 BH 87926156.00 -1.68379 9.21039 -3.82548
72 M1 375000000.00 2.74970 3.24374 1.61659
72 M2 375000000.00 6.35244 9.40443 4.48471
72 M1H 20667705.00 -0.00000 3.24374 -1.15469
72 M2H 20667705.00 0.00000 9.40443 -2.04384
72 BH 87926156.00 -1.21875 9.32695 -3.36046
73 M1 375000000.00 2.77241 3.28383 1.61690
73 M2 375000000.00 6.38157 9.59842 4.48555
73 M1H 20667705.00 -0.00000 3.28383 -1.17981
73 M2H 20667705.00 0.00000 9.59842 -2.07914
73 BH 87926156.00 -2.09808 9.13360 -4.23975
74 M1 375000000.00 2.79881 3.41226 1.61723
74 M2 375000000.00 6.38838 9.64665 4.48574
74 M1H 20667705.00 -0.00000 3.41226 -1.20788
74 M2H 20667705.00 0.00000 9.64665 -2.08730
74 BH 87926156.00 -1.72752 9.05150 -3.86921
75 M1 375000000.00 2.76340 3.27576 1.61678
75 M2 375000000.00 6.36777 9.51606 4.48514
75 M1H 20667705.00 -0.00000 3.27576 -1.16981
75 M2H 20667705.00 0.00000 9.51606 -2.06205
75 BH 87926156.00 -1.44294 9.25792 -3.58464
76 M1 375000000.00 2.84275 3.64343 1.61777
76 M2 375000000.00 6.39599 9.69854 4.48596
76 M1H 20667705.00 -0.00000 3.64343 -1.25367
76 M2H 20667705.00 0.00000 9.69854 -2.09650
76 BH 87926156.00 -2.06945 9.03032 -4.21112
77 M1 375000000.00 2.64972 2.74644 1.61547
77 M2 375000000.00 6.17012 7.94443 4.47968
77 M1H 20667705.00 -0.00000 2.74644 -1.05003
77 M2H 20667705.00 0.00000 7.94443 -1.83358
77 BH 87926156.00 -1.65267 9.11144 -3.79436
78 M1 375000000.00 2.86960 3.80635 1.61811
78 M2 375000000.00 6.40438 9.75216 4.48621
78 M1H 20667705.00 -0.00000 3.80635 -1.28195
78 M2H 20667705.00 0.00000 9.75216 -2.10678
78 BH 87926156.00 -2.37831 8.91991 -4.51997
79 M1 375000000.00 2.29921 1.70733 1.61167
79 M2 375000000.00 6.13632 7.12097 4.47888
79 M1H 20667705.00 -0.00000 1.70733 -0.69519
79 M2H 20667705.00 0.00000 7.12097 -1.80353
79 BH 87926156.00 -1.18066 9.33949 -3.32237
80 M1 375000000.00 2.85454 3.70729 1.61792
80 M2 375000000.00 6.40096 9.72969 4.48611
80 M1H 20667705.00 -0.00000 3.70729 -1.26630
80 M2H 20667705.00 0.00000 9.72969 -2.10262
80 BH 87926156.00 -2.21689 8.96910 -4.35856
81 M1 375000000.00 2.81033 3.56957 1.61733
81 M2 375000000.00 6.37090 9.53651 4.48523
81 M1H 20667705.00 -0.00000 3.56957 -1.21834
81 M2H 20667705.00 0.00000 9.53651 -2.06586
81 BH 87926156.00 -2.41157 8.87645 -4.55322
82 M1 375000000.00 2.76644 3.32710 1.61680
82 M2 375000000.00 6.37650 9.56190 4.48540
82 M1H 20667705.00 -0.00000 3.32710 -1.17247
82 M2H 20667705.00 0.00000 9.56190 -2.07310
82 BH 87926156.00 -2.25351 9.02453 -4.39518
83 M1 375000000.00 2.62678 2.57997 1.61526
83 M2 375000000.00 5.93126 6.57860 4.47316
83 M1H 20667705.00 -0.00000 2.57997 -1.02662
83 M2H 20667705.00 0.00000 6.57860 -1.54095
83 BH 87926156.00 -1.08932 9.33265 -3.23103
84 M1 375000000.00 2.82912 3.59949 1.61759
84 M2 375000000.00 6.38857 9.65182 4.48575
84 M1H 20667705.00 -0.00000 3.59949 -1.23891
84 M2H 20667705.00 0.00000 9.65182 -2.08738
84 BH 87926156.00 -2.13009 8.95639 -4.27177
85 M1 375000000.00 2.71780 3.04483 1.61623
85 M2 375000000.00 6.34617 9.34449 4.48454
85 M1H 20667705.00 -0.00000 3.04483 -1.12265
85 M2H 20667705.00 0.00000 9.34449 -2.03696
85 BH 87926156.00 -1.92453 9.13233 -4.06621
86 M1 375000000.00 2.65321 2.75994 1.61551
86 M2 375000000.00 5.71850 5.19009 4.46777
86 M1H 20667705.00 -0.00000 2.75994 -1.05306
86 M2H 20667705.00 0.00000 5.19009 -1.29153
86 BH 87926156.00 -1.58737 6.72162 -3.14000
87 M1 375000000.00 2.74890 3.18649 1.61661
87 M2 375000000.00 6.37383 9.54486 4.48532
87 M1H 20667705.00 -0.00000 3.18649 -1.15522
87 M2H 20667705.00 0.00000 9.54486 -2.06983
87 BH 87926156.00 -1.30546 9.33329 -3.44716
88 M1 375000000.00 2.80112 3.48032 1.61723
88 M2 375000000.00 6.38189 9.60321 4.48556
88 M1H 20667705.00 -0.00000 3.48032 -1.20887
88 M2H 20667705.00 0.00000 9.60321 -2.07943
88 BH 87926156.00 -1.38284 9.19420 -3.52455
89 M1 375000000.00 2.78714 3.45555 1.61704
89 M2 375000000.00 6.37057 9.53105 4.48522
89 M1H 20667705.00 -0.00000 3.45555 -1.19349
89 M2H 20667705.00 0.00000 9.53105 -2.06559
89 BH 87926156.00 -1.92330 8.99640 -4.06498
90 M1 375000000.00 2.72498 3.12194 1.61630
90 M2 375000000.00 6.34293 9.32539 4.48444
90 M1H 20667705.00 -0.00000 3.12194 -1.12912
90 M2H 20667705.00 0.00000 9.32539 -2.03297
90 BH 87926156.00 -1.63371 9.21332 -3.77541
91 M1 375000000.00 2.72490 3.14520 1.61629
91 M2 375000000.00 6.30640 9.04889 4.48342
91 M1H 20667705.00 -0.00000 3.14520 -1.12840
91 M2H 20667705.00 0.00000 9.04889 -1.99027
91 BH 87926156.00 -1.51116 9.25296 -3.65286
92 M1 375000000.00 2.68713 2.88903 1.61586
92 M2 375000000.00 6.02935 7.33895 4.47572
92 M1H 20667705.00 -0.00000 2.88903 -1.09040
92 M2H 20667705.00 0.00000 7.33895 -1.65543
92 BH 87926156.00 -3.42007 8.38238 -5.56167
93 M1 375000000.00 2.83243 3.61826 1.61762
93 M2 375000000.00 6.38783 9.65044 4.48572
93 M1H 20667705.00 -0.00000 3.61826 -1.24233
93 M2H 20667705.00 0.00000 9.65044 -2.08636
93 BH 87926156.00 -1.31629 9.30020 -3.45800
94 M1 375000000.00 2.84041 3.62908 1.61775
94 M2 375000000.00 6.39863 9.71597 4.48604
94 M1H 20667705.00 -0.00000 3.62908 -1.25143
94 M2H 20667705.00 0.00000 9.71597 -2.09972
94 BH 87926156.00 -2.76380 8.78642 -4.90544
95 M1 375000000.00 2.56664 2.36073 1.61459
95 M2 375000000.00 6.16734 7.76891 4.47966
95 M1H 20667705.00 -0.00000 2.36073 -0.96635
95 M2H 20667705.00 0.00000 7.76891 -1.83441
95 BH 87926156.00 -2.59601 8.86184 -4.73766
96 M1 375000000.00 2.66488 2.84635 1.61563
96 M2 375000000.00 5.85023 5.95280 4.47110
96 M1H 20667705.00 -0.00000 2.84635 -1.06486
96 M2H 20667705.00 0.00000 5.95280 -1.44944
96 BH 87926156.00 -1.11809 8.94532 -3.13428
97 M1 375000000.00 2.66267 2.77664 1.61561
97 M2 375000000.00 6.19027 8.42169 4.48006
97 M1H 20667705.00 -0.00000 2.77664 -1.06520
97 M2H 20667705.00 0.00000 8.42169 -1.84477
97 BH 87926156.00 -1.57407 9.14524 -3.71576
98 M1 375000000.00 2.40735 1.91874 1.61286
98 M2 375000000.00 6.24543 8.36103 4.48179
98 M1H 20667705.00 -0.00000 1.91874 -0.80505
98 M2H 20667705.00 0.00000 8.36103 -1.92486
98 BH 87926156.00 -1.87312 9.03320 -4.01480
99 M1 375000000.00 2.53398 2.29050 1.61420
99 M2 375000000.00 6.32421 9.15155 4.48393
99 M1H 20667705.00 -0.00000 2.29050 -0.93510
99 M2H 20667705.00 0.00000 9.15155 -2.01232
99 BH 87926156.00 -1.93896 9.12928 -4.08064
100 M1 375000000.00 2.85632 3.71421 1.61795
100 M2 375000000.00 6.39677 9.70591 4.48598
100 M1H 20667705.00 -0.00000 3.71421 -1.26835
